Loading data...
Vocab size: 10002
Time usage: 0:00:03
<bound method Module.parameters of Model(
  (embedding): Embedding(10002, 300, padding_idx=10001)
  (postion_embedding): Positional_Encoding(
    (dropout): Dropout(p=0.5, inplace=False)
  )
  (encoder): Encoder(
    (attention): Multi_Head_Attention(
      (fc_Q): Linear(in_features=300, out_features=300, bias=True)
      (fc_K): Linear(in_features=300, out_features=300, bias=True)
      (fc_V): Linear(in_features=300, out_features=300, bias=True)
      (attention): Scaled_Dot_Product_Attention()
      (fc): Linear(in_features=300, out_features=300, bias=True)
      (dropout): Dropout(p=0.5, inplace=False)
      (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
    )
    (feed_forward): Position_wise_Feed_Forward(
      (fc1): Linear(in_features=300, out_features=1024, bias=True)
      (fc2): Linear(in_features=1024, out_features=300, bias=True)
      (dropout): Dropout(p=0.5, inplace=False)
      (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
    )
  )
  (encoders): ModuleList(
    (0): Encoder(
      (attention): Multi_Head_Attention(
        (fc_Q): Linear(in_features=300, out_features=300, bias=True)
        (fc_K): Linear(in_features=300, out_features=300, bias=True)
        (fc_V): Linear(in_features=300, out_features=300, bias=True)
        (attention): Scaled_Dot_Product_Attention()
        (fc): Linear(in_features=300, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
      (feed_forward): Position_wise_Feed_Forward(
        (fc1): Linear(in_features=300, out_features=1024, bias=True)
        (fc2): Linear(in_features=1024, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
    )
    (1): Encoder(
      (attention): Multi_Head_Attention(
        (fc_Q): Linear(in_features=300, out_features=300, bias=True)
        (fc_K): Linear(in_features=300, out_features=300, bias=True)
        (fc_V): Linear(in_features=300, out_features=300, bias=True)
        (attention): Scaled_Dot_Product_Attention()
        (fc): Linear(in_features=300, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
      (feed_forward): Position_wise_Feed_Forward(
        (fc1): Linear(in_features=300, out_features=1024, bias=True)
        (fc2): Linear(in_features=1024, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
    )
  )
  (fc1): Linear(in_features=19200, out_features=4, bias=True)
)>
Iter:      0,  Train Loss:   1.6,  Train Acc: 18.75%,  Val Loss:   7.9,  Val Acc: 25.00%,  Time: 0:00:01 *
Iter:    100,  Train Loss:   1.3,  Train Acc: 43.75%,  Val Loss:   1.3,  Val Acc: 39.77%,  Time: 0:00:05 *
Iter:    200,  Train Loss:   1.2,  Train Acc: 43.75%,  Val Loss:   1.2,  Val Acc: 48.78%,  Time: 0:00:08 *
Iter:    300,  Train Loss:   1.2,  Train Acc: 53.12%,  Val Loss:   1.1,  Val Acc: 54.17%,  Time: 0:00:12 *
Iter:    400,  Train Loss:   1.1,  Train Acc: 56.25%,  Val Loss:   1.0,  Val Acc: 61.00%,  Time: 0:00:16 *
Iter:    500,  Train Loss:   0.9,  Train Acc: 65.62%,  Val Loss:  0.87,  Val Acc: 67.47%,  Time: 0:00:19 *
Iter:    600,  Train Loss:  0.81,  Train Acc: 67.19%,  Val Loss:  0.79,  Val Acc: 70.85%,  Time: 0:00:23 *
Iter:    700,  Train Loss:  0.95,  Train Acc: 67.19%,  Val Loss:   0.8,  Val Acc: 71.30%,  Time: 0:00:27 
Iter:    800,  Train Loss:   0.9,  Train Acc: 64.06%,  Val Loss:  0.79,  Val Acc: 71.47%,  Time: 0:00:30 *
Iter:    900,  Train Loss:  0.78,  Train Acc: 76.56%,  Val Loss:  0.64,  Val Acc: 77.45%,  Time: 0:00:34 *
Iter:   1000,  Train Loss:  0.67,  Train Acc: 75.00%,  Val Loss:  0.62,  Val Acc: 78.00%,  Time: 0:00:38 *
Iter:   1100,  Train Loss:  0.65,  Train Acc: 73.44%,  Val Loss:  0.63,  Val Acc: 77.62%,  Time: 0:00:42 
Iter:   1200,  Train Loss:  0.91,  Train Acc: 73.44%,  Val Loss:  0.56,  Val Acc: 80.48%,  Time: 0:00:45 *
Iter:   1300,  Train Loss:  0.52,  Train Acc: 82.81%,  Val Loss:  0.54,  Val Acc: 80.07%,  Time: 0:00:49 *
Iter:   1400,  Train Loss:  0.78,  Train Acc: 73.44%,  Val Loss:  0.57,  Val Acc: 78.97%,  Time: 0:00:53 
Iter:   1500,  Train Loss:  0.78,  Train Acc: 64.06%,  Val Loss:  0.56,  Val Acc: 80.18%,  Time: 0:00:57 
Iter:   1600,  Train Loss:  0.61,  Train Acc: 76.56%,  Val Loss:  0.52,  Val Acc: 81.25%,  Time: 0:01:00 *
Iter:   1700,  Train Loss:  0.48,  Train Acc: 82.81%,  Val Loss:  0.51,  Val Acc: 81.10%,  Time: 0:01:04 *
Iter:   1800,  Train Loss:  0.62,  Train Acc: 79.69%,  Val Loss:  0.49,  Val Acc: 82.63%,  Time: 0:01:08 *
Iter:   1900,  Train Loss:  0.53,  Train Acc: 81.25%,  Val Loss:  0.47,  Val Acc: 83.87%,  Time: 0:01:12 *
Iter:   2000,  Train Loss:  0.55,  Train Acc: 79.69%,  Val Loss:  0.48,  Val Acc: 83.18%,  Time: 0:01:16 
