Loading data...
Vocab size: 10002
Time usage: 0:00:03
<bound method Module.parameters of Model(
  (embedding): Embedding(10002, 300, padding_idx=10001)
  (postion_embedding): Positional_Encoding(
    (dropout): Dropout(p=0.5, inplace=False)
  )
  (encoder): Encoder(
    (attention): Multi_Head_Attention(
      (fc_Q): Linear(in_features=300, out_features=300, bias=True)
      (fc_K): Linear(in_features=300, out_features=300, bias=True)
      (fc_V): Linear(in_features=300, out_features=300, bias=True)
      (attention): Scaled_Dot_Product_Attention()
      (fc): Linear(in_features=300, out_features=300, bias=True)
      (dropout): Dropout(p=0.5, inplace=False)
      (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
    )
    (feed_forward): Position_wise_Feed_Forward(
      (fc1): Linear(in_features=300, out_features=1024, bias=True)
      (fc2): Linear(in_features=1024, out_features=300, bias=True)
      (dropout): Dropout(p=0.5, inplace=False)
      (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
    )
  )
  (encoders): ModuleList(
    (0): Encoder(
      (attention): Multi_Head_Attention(
        (fc_Q): Linear(in_features=300, out_features=300, bias=True)
        (fc_K): Linear(in_features=300, out_features=300, bias=True)
        (fc_V): Linear(in_features=300, out_features=300, bias=True)
        (attention): Scaled_Dot_Product_Attention()
        (fc): Linear(in_features=300, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
      (feed_forward): Position_wise_Feed_Forward(
        (fc1): Linear(in_features=300, out_features=1024, bias=True)
        (fc2): Linear(in_features=1024, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
    )
    (1): Encoder(
      (attention): Multi_Head_Attention(
        (fc_Q): Linear(in_features=300, out_features=300, bias=True)
        (fc_K): Linear(in_features=300, out_features=300, bias=True)
        (fc_V): Linear(in_features=300, out_features=300, bias=True)
        (attention): Scaled_Dot_Product_Attention()
        (fc): Linear(in_features=300, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
      (feed_forward): Position_wise_Feed_Forward(
        (fc1): Linear(in_features=300, out_features=1024, bias=True)
        (fc2): Linear(in_features=1024, out_features=300, bias=True)
        (dropout): Dropout(p=0.5, inplace=False)
        (layer_norm): LayerNorm((300,), eps=1e-05, elementwise_affine=True)
      )
    )
  )
  (fc1): Linear(in_features=19200, out_features=4, bias=True)
)>
Iter:      0,  Train Loss:   1.6,  Train Acc: 18.75%,  Val Loss:   7.9,  Val Acc: 25.00%,  Time: 0:00:01 *
Iter:    100,  Train Loss:   1.4,  Train Acc: 29.69%,  Val Loss:   2.0,  Val Acc: 33.93%,  Time: 0:00:03 *
Iter:    200,  Train Loss:   1.1,  Train Acc: 54.69%,  Val Loss:   1.3,  Val Acc: 50.35%,  Time: 0:00:05 *
Iter:    300,  Train Loss:   1.1,  Train Acc: 60.94%,  Val Loss:   1.1,  Val Acc: 62.10%,  Time: 0:00:07 *
Iter:    400,  Train Loss:  0.95,  Train Acc: 60.94%,  Val Loss:   1.1,  Val Acc: 63.55%,  Time: 0:00:09 
Iter:    500,  Train Loss:  0.82,  Train Acc: 68.75%,  Val Loss:  0.75,  Val Acc: 71.73%,  Time: 0:00:11 *
Iter:    600,  Train Loss:  0.67,  Train Acc: 62.50%,  Val Loss:   0.7,  Val Acc: 74.67%,  Time: 0:00:12 *
Iter:    700,  Train Loss:  0.88,  Train Acc: 65.62%,  Val Loss:  0.72,  Val Acc: 73.68%,  Time: 0:00:14 
Iter:    800,  Train Loss:  0.81,  Train Acc: 70.31%,  Val Loss:  0.58,  Val Acc: 77.92%,  Time: 0:00:16 *
Iter:    900,  Train Loss:  0.94,  Train Acc: 70.31%,  Val Loss:  0.57,  Val Acc: 79.65%,  Time: 0:00:18 *
Iter:   1000,  Train Loss:  0.54,  Train Acc: 82.81%,  Val Loss:   0.6,  Val Acc: 77.62%,  Time: 0:00:20 
Iter:   1100,  Train Loss:  0.52,  Train Acc: 78.12%,  Val Loss:  0.52,  Val Acc: 80.70%,  Time: 0:00:22 *
Iter:   1200,  Train Loss:  0.94,  Train Acc: 68.75%,  Val Loss:  0.68,  Val Acc: 76.85%,  Time: 0:00:24 
Iter:   1300,  Train Loss:  0.55,  Train Acc: 81.25%,  Val Loss:   0.5,  Val Acc: 81.37%,  Time: 0:00:26 *
Iter:   1400,  Train Loss:  0.67,  Train Acc: 78.12%,  Val Loss:  0.52,  Val Acc: 79.73%,  Time: 0:00:28 
Iter:   1500,  Train Loss:  0.91,  Train Acc: 62.50%,  Val Loss:  0.47,  Val Acc: 83.22%,  Time: 0:00:30 *
Iter:   1600,  Train Loss:  0.59,  Train Acc: 76.56%,  Val Loss:  0.47,  Val Acc: 83.28%,  Time: 0:00:32 
Iter:   1700,  Train Loss:  0.45,  Train Acc: 85.94%,  Val Loss:  0.47,  Val Acc: 82.85%,  Time: 0:00:34 
Iter:   1800,  Train Loss:  0.78,  Train Acc: 67.19%,  Val Loss:  0.47,  Val Acc: 84.28%,  Time: 0:00:36 
Iter:   1900,  Train Loss:  0.77,  Train Acc: 68.75%,  Val Loss:  0.46,  Val Acc: 84.70%,  Time: 0:00:38 *
